Revenue,DebtRatio,ReadmissionRate,PatientSatisfaction,Risk
96,0.25,15,54,Moderate
127,0.11,20,78,Safe
52,0.75,15,53,High
50,0.79,23,61,High
54,0.39,19,94,Safe
139,0.49,29,51,High
63,0.65,27,76,Moderate
76,0.14,27,80,Moderate
58,0.91,20,85,Moderate
128,0.85,15,85,Moderate
64,0.32,26,75,Moderate
139,0.11,20,92,Safe
91,0.89,12,76,Moderate
126,0.53,8,54,Moderate
100,0.56,12,69,Safe
112,0.68,8,60,Safe
145,0.62,28,59,High
101,0.9,29,89,High
145,0.9,7,87,Moderate
53,0.84,7,55,High
143,0.64,22,57,Moderate
150,0.78,30,72,High
72,0.68,23,75,Moderate
64,0.59,23,95,Moderate
92,0.21,25,92,Moderate
78,0.79,9,61,Moderate
85,0.8,22,75,Moderate
62,0.63,14,62,Safe
81,0.8,26,89,High
120,0.65,25,67,Moderate
108,0.28,10,74,Safe
135,0.33,5,82,Safe
77,0.28,9,89,Safe
115,0.42,13,92,Safe
91,0.13,16,61,Safe
94,0.63,30,93,Moderate
111,0.39,18,85,Safe
106,0.66,6,53,Moderate
55,0.43,21,54,Moderate
77,0.68,18,86,Safe
77,0.39,30,57,High
93,0.32,17,91,Safe
133,0.52,13,77,Safe
79,0.69,30,80,Moderate
111,0.4,29,58,High
124,0.9,19,78,Moderate
141,0.13,29,63,Moderate
138,0.46,26,89,Moderate
111,0.92,19,90,Moderate
146,0.57,28,71,Moderate
50,0.46,15,60,Safe
76,0.58,20,72,Safe
111,0.59,21,50,Moderate
126,0.72,30,95,High
52,0.21,8,86,Safe
119,0.31,5,70,Safe
121,0.59,12,75,Safe
76,0.84,21,95,Moderate
58,0.58,7,85,Safe
111,0.3,24,72,Moderate
86,0.68,19,50,Moderate
146,0.73,19,89,Moderate
100,0.3,28,64,Moderate
93,0.42,26,70,Moderate
73,0.55,18,58,Moderate
128,0.52,30,58,High
108,0.43,27,59,High
81,0.35,18,75,Safe
145,0.18,28,90,Moderate
137,0.15,6,84,Safe
101,0.91,17,74,Moderate
111,0.82,30,75,High
107,0.4,18,60,Safe
101,0.91,28,87,High
61,0.68,23,51,High
88,0.51,11,56,Moderate
51,0.52,7,67,Safe
52,0.17,19,76,Safe
150,0.18,27,83,Moderate
105,0.61,18,76,Safe
130,0.57,15,66,Safe
108,0.28,19,92,Safe
51,0.9,17,93,Moderate
51,0.76,22,73,Moderate
141,0.2,30,74,Moderate
103,0.89,10,56,High
136,0.93,7,55,High
150,0.95,23,73,High
145,0.15,19,82,Safe
146,0.73,29,78,High
50,0.56,27,92,Moderate
68,0.7,9,71,Safe
51,0.92,14,75,Moderate
102,0.68,11,77,Safe
93,0.81,29,70,High
139,0.84,21,56,High
81,0.81,11,66,Moderate
119,0.46,26,69,Moderate
81,0.29,30,90,Moderate
117,0.44,16,69,Safe
104,0.86,29,71,High
124,0.22,21,77,Safe
105,0.54,17,89,Safe
66,0.3,24,56,High
87,0.59,29,50,High
73,0.83,8,81,Moderate
118,0.85,14,62,Moderate
147,0.3,7,79,Safe
119,0.87,13,72,Moderate
135,0.6,17,68,Safe
60,0.4,22,81,Safe
65,0.7,19,79,Safe
146,0.51,8,78,Safe
122,0.42,19,94,Safe
108,0.7,26,78,Moderate
119,0.31,6,79,Safe
129,0.38,19,65,Safe
142,0.47,12,89,Safe
52,0.32,12,68,Safe
69,0.44,21,67,Safe
108,0.59,16,50,Moderate
85,0.73,23,63,High
68,0.75,14,51,High
139,0.8,13,77,Moderate
116,0.73,9,79,Moderate
68,0.68,10,87,Safe
69,0.3,24,53,High
145,0.44,30,50,High
120,0.51,6,57,Moderate
101,0.17,28,78,Moderate
82,0.55,17,88,Safe
89,0.47,10,52,Moderate
88,0.78,9,81,Moderate
131,0.93,29,59,High
50,0.57,5,59,Moderate
60,0.37,25,68,Moderate
141,0.14,26,95,Moderate
106,0.89,25,83,High
138,0.88,10,82,Moderate
99,0.32,10,72,Safe
72,0.69,27,77,Moderate
80,0.16,20,81,Safe
143,0.24,8,56,Moderate
91,0.28,15,78,Safe
148,0.35,28,57,High
56,0.95,27,50,High
65,0.69,13,52,Moderate
139,0.43,27,73,Moderate
109,0.73,7,72,Moderate
51,0.88,23,57,High
50,0.91,12,86,Moderate
97,0.15,9,52,Moderate
61,0.44,8,82,Safe
118,0.19,28,77,Moderate
86,0.39,10,57,Moderate
